timestamp,run_id,model,latent_dim,epochs,best_epoch,best_train_loss,best_test_loss,lr,batch_size,kld_weight,eval_method,checkpoint,Overall Mean R²,Min Ferret Mean (R²),Min Ferret Mean (CI Low),Min Ferret Mean (CI High),Max Ferret Mean (R²),Max Ferret Mean (CI Low),Max Ferret Mean (CI High),Height Mean (R²),Height Mean (CI Low),Height Mean (CI High),Area Mean (R²),Area Mean (CI Low),Area Mean (CI High),Volume Mean (R²),Volume Mean (CI Low),Volume Mean (CI High),Min Ferret Median (R²),Min Ferret Median (CI Low),Min Ferret Median (CI High),Max Ferret Median (R²),Max Ferret Median (CI Low),Max Ferret Median (CI High),Height Median (R²),Height Median (CI Low),Height Median (CI High),Area Median (R²),Area Median (CI Low),Area Median (CI High),Volume Median (R²),Volume Median (CI Low),Volume Median (CI High)
20251203_003104,attention_unet_20251203_003104_64dim,attention_unet,64,10,7,0.002014,0.001659,0.001,16,0.00025,loo,checkpoints/attention_unet/attention_unet_20251203_003104_64dim/final.pth,-0.0133,-0.1222,-1.8433,0.0602,-0.0934,-1.8153,0.1456,-0.0137,-0.7754,0.1237,0.0039,-1.3009,0.2501,0.2745,-0.2496,0.4216,0.0648,-0.3921,0.2736,0.2221,-0.2554,0.4063,-0.0067,-0.693,0.1458,0.0387,-1.0168,0.3279,-0.5015,-7.388,-0.0144
20251203_003250,autoencoder_20251203_003250_64dim,autoencoder,64,250,202,0.000249,0.000465,0.001,16,0.00025,loo,checkpoints/autoencoder/autoencoder_20251203_003250_64dim/final.pth,-0.061,-0.2668,-2.5754,-0.0319,-0.2189,-3.3068,-0.0027,-0.1616,-0.9966,0.034,-0.0983,-1.5863,0.1354,0.2364,-0.2037,0.5378,0.0689,-0.3591,0.2712,0.1162,-0.4458,0.3715,-0.0188,-0.7094,0.223,0.1852,-0.3136,0.4509,-0.4518,-5.9521,-0.0492
20251203_003419,variational_autoencoder_20251203_003419_64dim,variational_autoencoder,64,500,447,0.004164,0.003683,0.001,16,0.00025,loo,checkpoints/variational_autoencoder/variational_autoencoder_20251203_003419_64dim/final.pth,-0.1239,-0.3969,-4.5908,0.0013,-0.4063,-6.2926,0.0705,-0.1949,-1.4107,0.1661,-0.2007,-2.9673,0.2734,0.1466,-0.3817,0.4399,-0.0192,-0.5526,0.2714,0.0489,-0.4424,0.3003,-0.0469,-0.938,0.215,0.1614,-0.4784,0.4314,-0.3308,-3.5364,-0.0618
20251203_003543,bigger_variational_autoencoder_20251203_003543_64dim,bigger_variational_autoencoder,64,100,86,0.005239,0.004745,0.001,16,0.00025,loo,checkpoints/bigger_variational_autoencoder/bigger_variational_autoencoder_20251203_003543_64dim/final.pth,-0.1449,-0.1765,-2.151,-0.0043,-0.2517,-2.1968,-0.0782,-0.1661,-0.6059,0.1887,-0.0884,-1.4693,0.1361,-0.0122,-0.2699,0.3263,-0.1589,-0.56,0.0543,-0.0923,-0.4533,0.1154,-0.1149,-0.5837,0.1286,0.0453,-0.4774,0.3784,-0.4329,-5.3014,-0.0737
20251203_003828,even_smaller_variational_autoencoder_20251203_003828_64dim,even_smaller_variational_autoencoder,64,500,392,0.004273,0.005777,0.001,16,0.00025,loo,checkpoints/even_smaller_variational_autoencoder/even_smaller_variational_autoencoder_20251203_003828_64dim/final.pth,-0.1323,-0.4056,-2.8709,-0.1737,-0.3859,-3.3844,-0.1496,-0.4587,-2.0219,-0.1832,-0.2501,-2.6446,-0.0472,0.2272,-0.527,0.4215,0.0115,-0.4638,0.1947,0.1449,-0.2008,0.3152,-0.0246,-1.251,0.2274,0.1665,-0.3092,0.3934,-0.3487,-5.7017,0.1609
