timestamp,run_id,model,latent_dim,epochs,best_epoch,best_train_loss,best_test_loss,lr,batch_size,kld_weight,eval_method,checkpoint,Overall Mean R²,Min Ferret Mean (R²),Min Ferret Mean (CI Low),Min Ferret Mean (CI High),Max Ferret Mean (R²),Max Ferret Mean (CI Low),Max Ferret Mean (CI High),Height Mean (R²),Height Mean (CI Low),Height Mean (CI High),Area Mean (R²),Area Mean (CI Low),Area Mean (CI High),Volume Mean (R²),Volume Mean (CI Low),Volume Mean (CI High),Min Ferret Median (R²),Min Ferret Median (CI Low),Min Ferret Median (CI High),Max Ferret Median (R²),Max Ferret Median (CI Low),Max Ferret Median (CI High),Height Median (R²),Height Median (CI Low),Height Median (CI High),Area Median (R²),Area Median (CI Low),Area Median (CI High),Volume Median (R²),Volume Median (CI Low),Volume Median (CI High),augmentation,Min Ferret Variance (R²),Min Ferret Variance (CI Low),Min Ferret Variance (CI High),Min Ferret Skewness (R²),Min Ferret Skewness (CI Low),Min Ferret Skewness (CI High),Min Ferret Kurtosis (R²),Min Ferret Kurtosis (CI Low),Min Ferret Kurtosis (CI High),Max Ferret Variance (R²),Max Ferret Variance (CI Low),Max Ferret Variance (CI High),Max Ferret Skewness (R²),Max Ferret Skewness (CI Low),Max Ferret Skewness (CI High),Max Ferret Kurtosis (R²),Max Ferret Kurtosis (CI Low),Max Ferret Kurtosis (CI High),Height Variance (R²),Height Variance (CI Low),Height Variance (CI High),Height Skewness (R²),Height Skewness (CI Low),Height Skewness (CI High),Height Kurtosis (R²),Height Kurtosis (CI Low),Height Kurtosis (CI High),Area Variance (R²),Area Variance (CI Low),Area Variance (CI High),Area Skewness (R²),Area Skewness (CI Low),Area Skewness (CI High),Area Kurtosis (R²),Area Kurtosis (CI Low),Area Kurtosis (CI High),Volume Variance (R²),Volume Variance (CI Low),Volume Variance (CI High),Volume Skewness (R²),Volume Skewness (CI Low),Volume Skewness (CI High),Volume Kurtosis (R²),Volume Kurtosis (CI Low),Volume Kurtosis (CI High)
20251204_080051,attention_unet_20251204_080051_64dim,attention_unet,64,150,135,9.8e-05,0.000217,0.001,16,0.00025,loo,checkpoints/attention_unet/attention_unet_20251204_080051_64dim/final.pth,-0.234,-0.2493,-3.989,0.346,-0.2747,-5.0088,0.29,-0.3532,-2.506,0.0787,-0.1659,-2.79,0.3207,0.0195,-0.9639,0.2877,-0.0332,-0.6168,0.2394,-0.0764,-0.6836,0.2217,-0.5373,-2.4172,-0.1934,-0.0597,-1.295,0.3316,-0.6102,-7.3783,-0.2032,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204_081725,autoencoder_20251204_081725_64dim,autoencoder,64,3750,1123,7.4e-05,0.000272,0.001,16,0.00025,loo,checkpoints/autoencoder/autoencoder_20251204_081725_64dim/final.pth,0.0158,-0.1608,-1.4673,0.0093,-0.1049,-1.4242,0.0027,-0.1015,-0.703,0.1127,0.0315,-0.5359,0.2852,0.1299,-0.242,0.3728,0.066,-0.2406,0.1941,0.1496,-0.1767,0.3247,0.0945,-0.351,0.2189,0.2678,-0.0259,0.4721,-0.214,-2.6316,0.13,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204_083005,variational_autoencoder_20251204_083005_64dim,variational_autoencoder,64,7500,6856,0.00279,0.002268,0.001,16,0.00025,loo,checkpoints/variational_autoencoder/variational_autoencoder_20251204_083005_64dim/final.pth,-0.074,-0.2459,-2.1298,-0.1068,-0.2722,-2.1936,-0.0816,-0.3096,-1.3334,-0.1258,-0.1414,-1.5506,-0.0152,0.2917,-0.0715,0.4437,0.0945,-0.3253,0.2372,0.1383,-0.1791,0.2485,-0.1433,-1.006,0.0176,0.135,-0.2864,0.4052,-0.2876,-4.1619,0.1399,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204_083941,bigger_variational_autoencoder_20251204_083941_64dim,bigger_variational_autoencoder,64,1500,1326,0.002759,0.003185,0.001,16,0.00025,loo,checkpoints/bigger_variational_autoencoder/bigger_variational_autoencoder_20251204_083941_64dim/final.pth,-0.0743,-0.3077,-3.8103,0.0044,-0.2247,-3.4936,0.0223,-0.2228,-1.9256,0.047,-0.0872,-1.332,0.075,0.2677,-0.0355,0.4687,-0.0174,-0.4943,0.1637,0.054,-0.3414,0.2185,-0.002,-0.5745,0.2087,0.2096,-0.1741,0.4133,-0.4125,-6.4414,-0.0139,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251204_090639,even_smaller_variational_autoencoder_20251204_090639_64dim,even_smaller_variational_autoencoder,64,7500,6181,0.00358,0.003283,0.001,16,0.00025,loo,checkpoints/even_smaller_variational_autoencoder/even_smaller_variational_autoencoder_20251204_090639_64dim/final.pth,0.0506,-0.2209,-1.919,-0.048,-0.228,-2.6323,-0.024,-0.0886,-0.8471,0.0796,-0.0659,-1.6715,0.126,0.4837,0.1234,0.6158,0.1699,-0.3834,0.3629,0.2958,-0.1634,0.4872,0.0948,-0.454,0.2846,0.3296,0.0131,0.5295,-0.2648,-5.8566,0.2384,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251203_071530,attention_unet_20251203_071530_8dim,attention_unet,8,10,6,0.00038,9.3e-05,0.001,16,0.00025,loo,checkpoints/attention_unet/attention_unet_20251203_071530_8dim/final.pth,-0.2247,-0.2155,-2.7969,0.081,-0.2321,-2.8761,0.0206,-0.3753,-2.0261,-0.0272,-0.1661,-2.1134,0.1484,0.0368,-1.0927,0.3539,-0.0915,-0.5301,0.1078,0.0003,-0.4062,0.2116,-0.3848,-1.8728,-0.0477,-0.2187,-1.3954,0.23,-0.5999,-7.074,-0.1112,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251203_073050,autoencoder_20251203_073050_8dim,autoencoder,8,250,161,0.000269,0.000127,0.001,16,0.00025,loo,checkpoints/autoencoder/autoencoder_20251203_073050_8dim/final.pth,0.0896,0.0748,-0.9261,0.2072,0.199,-0.6362,0.2985,-0.0422,-0.5518,0.1079,0.0487,-1.2271,0.246,0.4053,-0.0248,0.5621,0.0746,-0.4151,0.2809,0.1308,-0.3171,0.3506,0.0011,-0.5975,0.1226,0.2674,-0.346,0.4965,-0.2635,-5.4149,0.0771,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251203_074411,variational_autoencoder_20251203_074411_8dim,variational_autoencoder,8,500,368,0.002479,0.00199,0.001,16,0.00025,loo,checkpoints/variational_autoencoder/variational_autoencoder_20251203_074411_8dim/final.pth,-0.036,-0.377,-4.2624,-0.0229,-0.4062,-4.591,-0.0846,-0.1159,-1.0935,0.2241,-0.1919,-2.5407,0.0973,0.2983,0.0257,0.7052,0.1321,-0.2287,0.3725,0.1959,-0.0948,0.462,0.0311,-0.5649,0.3373,0.3053,-0.2508,0.532,-0.2313,-3.1998,-0.0021,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251203_075254,bigger_variational_autoencoder_20251203_075254_8dim,bigger_variational_autoencoder,8,100,92,0.002637,0.002543,0.001,16,0.00025,loo,checkpoints/bigger_variational_autoencoder/bigger_variational_autoencoder_20251203_075254_8dim/final.pth,-0.0843,-0.223,-2.6116,-0.0391,-0.1682,-2.4991,0.0216,-0.1592,-1.1771,0.0555,-0.1329,-2.1871,0.0596,0.2624,-0.2763,0.3793,0.0013,-0.4185,0.1854,0.0003,-0.5083,0.1961,-0.1681,-1.5431,0.1013,0.1648,-0.2826,0.3856,-0.4202,-6.0956,0.0137,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251203_081738,even_smaller_variational_autoencoder_20251203_081738_8dim,even_smaller_variational_autoencoder,8,500,364,0.003538,0.003401,0.001,16,0.00025,loo,checkpoints/even_smaller_variational_autoencoder/even_smaller_variational_autoencoder_20251203_081738_8dim/final.pth,-0.1273,-0.3476,-4.8659,0.0006,-0.3202,-4.3812,-0.0045,-0.2878,-1.7305,-0.0028,-0.2682,-3.3209,0.0865,0.2435,-0.1409,0.4961,-0.1,-0.7222,0.1433,-0.0389,-0.6197,0.2251,-0.1338,-0.6552,-0.0149,0.2501,-0.1873,0.4664,-0.2701,-5.0634,-0.0018,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251203_182853,attention_unet_20251203_182853_8dim,attention_unet,8,150,84,0.000215,0.000104,0.001,16,0.00025,loo,checkpoints/attention_unet/attention_unet_20251203_182853_8dim/final.pth,-0.2223,-0.2637,-1.9362,-0.0854,-0.2541,-2.3395,-0.1022,-0.3335,-1.585,0.0206,-0.1576,-1.6145,0.0066,-0.0996,-1.3125,0.2658,-0.0978,-0.7613,0.098,-0.0711,-0.8038,0.1624,-0.334,-2.0228,0.0631,-0.1422,-1.0629,0.1862,-0.4693,-5.5791,-0.1811,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251203_184503,autoencoder_20251203_184503_8dim,autoencoder,8,3750,1651,7e-05,0.000299,0.001,16,0.00025,loo,checkpoints/autoencoder/autoencoder_20251203_184503_8dim/final.pth,-0.0429,-0.237,-2.7939,0.0177,-0.1892,-3.0084,0.0557,-0.264,-1.0773,-0.1356,-0.0922,-2.1329,0.1284,0.2411,-0.2984,0.4734,0.1627,-0.2435,0.428,0.2328,-0.1538,0.4639,-0.1094,-0.998,0.048,0.2386,-0.3508,0.5162,-0.4128,-4.1761,-0.0743,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251203_185738,variational_autoencoder_20251203_185738_8dim,variational_autoencoder,8,7500,910,0.002622,0.00388,0.001,16,0.00025,loo,checkpoints/variational_autoencoder/variational_autoencoder_20251203_185738_8dim/final.pth,0.001,-0.1873,-1.7871,-0.0328,-0.1446,-1.8568,-0.0089,0.0001,-0.3302,0.2071,-0.0329,-0.6131,0.2777,0.1805,-0.1921,0.5136,0.0596,-0.341,0.3219,0.0845,-0.3317,0.3608,0.1594,-0.0541,0.4201,0.2017,-0.2482,0.458,-0.3111,-4.8593,0.0842,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251203_190403,bigger_variational_autoencoder_20251203_190403_8dim,bigger_variational_autoencoder,8,1500,1207,0.002235,0.002022,0.001,16,0.00025,loo,checkpoints/bigger_variational_autoencoder/bigger_variational_autoencoder_20251203_190403_8dim/final.pth,-0.0457,-0.2654,-3.0076,0.0118,-0.2967,-3.3729,-0.0279,-0.225,-1.6377,0.0961,-0.1347,-1.9746,0.0911,0.4083,-0.0615,0.5752,0.0172,-0.4269,0.2052,0.0359,-0.4625,0.1994,0.0972,-0.4377,0.3973,0.3058,-0.0928,0.4826,-0.4,-6.5597,0.0243,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251203_192936,even_smaller_variational_autoencoder_20251203_192936_8dim,even_smaller_variational_autoencoder,8,7500,5943,0.003334,0.002865,0.001,16,0.00025,loo,checkpoints/even_smaller_variational_autoencoder/even_smaller_variational_autoencoder_20251203_192936_8dim/final.pth,-0.0167,-0.2428,-2.2203,-0.0563,-0.2322,-2.3323,-0.036,-0.0668,-0.6005,0.0825,-0.0413,-1.2561,0.1014,0.3771,0.0324,0.5293,0.0162,-0.381,0.1651,0.0618,-0.3222,0.227,0.087,-0.4408,0.2239,0.2415,-0.1956,0.44,-0.3673,-5.949,-0.0468,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251202_231056,attention_unet_20251202_231056_64dim,attention_unet,64,10,6,0.000241,0.000202,0.001,16,0.00025,loo,checkpoints/attention_unet/attention_unet_20251202_231056_64dim/final.pth,-0.2769,-0.3796,-4.025,-0.0399,-0.3359,-4.2635,0.046,-0.4171,-2.3111,-0.0786,-0.3602,-2.9465,-0.0654,-0.0887,-0.8692,0.2746,-0.2169,-0.8084,0.0258,-0.2551,-0.8828,0.0055,-0.2587,-1.7626,0.0143,-0.0015,-1.1106,0.3459,-0.455,-4.3733,-0.2185,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251202_232637,autoencoder_20251202_232637_64dim,autoencoder,64,250,151,0.000203,9.8e-05,0.001,16,0.00025,loo,checkpoints/autoencoder/autoencoder_20251202_232637_64dim/final.pth,-0.0932,-0.2572,-2.6315,-0.0557,-0.2174,-2.7683,-0.0165,-0.2054,-1.0913,-0.0351,-0.1121,-1.6088,0.0755,0.2358,-0.3801,0.4541,-0.0344,-0.4643,0.1581,0.0563,-0.474,0.2696,-0.0755,-0.8431,0.1188,0.2029,-0.4197,0.4383,-0.5247,-6.2115,-0.1615,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
