timestamp,run_id,model,latent_dim,epochs,best_epoch,best_train_loss,best_test_loss,lr,batch_size,kld_weight,eval_method,checkpoint,Overall Mean R²,Min Ferret Mean (R²),Min Ferret Mean (CI Low),Min Ferret Mean (CI High),Max Ferret Mean (R²),Max Ferret Mean (CI Low),Max Ferret Mean (CI High),Height Mean (R²),Height Mean (CI Low),Height Mean (CI High),Area Mean (R²),Area Mean (CI Low),Area Mean (CI High),Volume Mean (R²),Volume Mean (CI Low),Volume Mean (CI High),Min Ferret Median (R²),Min Ferret Median (CI Low),Min Ferret Median (CI High),Max Ferret Median (R²),Max Ferret Median (CI Low),Max Ferret Median (CI High),Height Median (R²),Height Median (CI Low),Height Median (CI High),Area Median (R²),Area Median (CI Low),Area Median (CI High),Volume Median (R²),Volume Median (CI Low),Volume Median (CI High)
20251204_012244,attention_unet_20251204_012244_32dim,attention_unet,32,150,130,0.000112,8.9e-05,0.001,16,0.00025,loo,checkpoints/attention_unet/attention_unet_20251204_012244_32dim/final.pth,0.0751,-0.1742,-3.246,0.1506,-0.1525,-3.2582,0.1408,0.1005,-0.73,0.2898,0.1177,-1.3565,0.2994,0.4915,0.0971,0.5933,0.1971,-0.2481,0.3817,0.315,-0.09,0.474,0.1071,-0.8039,0.4263,0.2537,-0.3343,0.5223,-0.505,-9.2052,-0.0205
20251204_013902,autoencoder_20251204_013902_32dim,autoencoder,32,3750,609,0.000129,0.000499,0.001,16,0.00025,loo,checkpoints/autoencoder/autoencoder_20251204_013902_32dim/final.pth,0.0441,-0.1934,-1.7301,-0.0569,-0.1185,-1.516,-0.0133,-0.0979,-0.4166,0.1387,0.073,-0.7382,0.2759,0.3659,-0.1141,0.5955,0.1607,-0.2892,0.3513,0.2742,-0.2402,0.4975,0.0103,-0.5324,0.1857,0.2727,-0.28,0.5155,-0.3063,-5.316,0.0772
20251204_015135,variational_autoencoder_20251204_015135_32dim,variational_autoencoder,32,7500,6905,0.002518,0.002212,0.001,16,0.00025,loo,checkpoints/variational_autoencoder/variational_autoencoder_20251204_015135_32dim/final.pth,-0.1296,-0.3525,-2.5205,-0.1347,-0.3393,-2.9354,-0.1464,-0.1314,-0.7378,0.0294,-0.1814,-1.5196,-0.0787,0.2637,-0.1239,0.392,-0.0612,-0.5627,0.1459,-0.0521,-0.517,0.1408,0.0419,-0.7494,0.2447,0.1099,-0.5249,0.3478,-0.5934,-6.002,-0.1715
20251204_015917,bigger_variational_autoencoder_20251204_015917_32dim,bigger_variational_autoencoder,32,1500,574,0.002835,0.003674,0.001,16,0.00025,loo,checkpoints/bigger_variational_autoencoder/bigger_variational_autoencoder_20251204_015917_32dim/final.pth,0.0226,-0.0093,-1.9443,0.1346,-0.0001,-1.6931,0.1187,0.0033,-0.8437,0.202,0.0932,-1.1775,0.2436,0.2749,-0.2473,0.4053,0.1179,-0.3712,0.3074,0.1195,-0.3649,0.2934,-0.0732,-0.7602,0.0948,0.2375,-0.1977,0.4615,-0.5378,-6.3435,-0.0834
20251204_022507,even_smaller_variational_autoencoder_20251204_022507_32dim,even_smaller_variational_autoencoder,32,7500,4786,0.003361,0.002896,0.001,16,0.00025,loo,checkpoints/even_smaller_variational_autoencoder/even_smaller_variational_autoencoder_20251204_022507_32dim/final.pth,-0.0249,-0.122,-2.7855,0.1273,-0.0939,-2.4209,0.1221,-0.1143,-0.7355,0.0824,-0.0183,-1.1476,0.1467,0.1935,-0.2726,0.4956,0.0226,-0.4501,0.2716,0.0905,-0.3091,0.3266,-0.0137,-0.3958,0.197,0.1086,-0.5233,0.4036,-0.3017,-4.7889,-0.0374
