timestamp,run_id,model,latent_dim,epochs,best_epoch,best_train_loss,best_test_loss,lr,batch_size,kld_weight,eval_method,checkpoint,Overall Mean R²,Min Ferret Mean (R²),Min Ferret Mean (CI Low),Min Ferret Mean (CI High),Max Ferret Mean (R²),Max Ferret Mean (CI Low),Max Ferret Mean (CI High),Height Mean (R²),Height Mean (CI Low),Height Mean (CI High),Area Mean (R²),Area Mean (CI Low),Area Mean (CI High),Volume Mean (R²),Volume Mean (CI Low),Volume Mean (CI High),Min Ferret Median (R²),Min Ferret Median (CI Low),Min Ferret Median (CI High),Max Ferret Median (R²),Max Ferret Median (CI Low),Max Ferret Median (CI High),Height Median (R²),Height Median (CI Low),Height Median (CI High),Area Median (R²),Area Median (CI Low),Area Median (CI High),Volume Median (R²),Volume Median (CI Low),Volume Median (CI High)
20251203_182853,attention_unet_20251203_182853_8dim,attention_unet,8,150,84,0.000215,0.000104,0.001,16,0.00025,loo,checkpoints/attention_unet/attention_unet_20251203_182853_8dim/final.pth,-0.2223,-0.2637,-1.9362,-0.0854,-0.2541,-2.3395,-0.1022,-0.3335,-1.585,0.0206,-0.1576,-1.6145,0.0066,-0.0996,-1.3125,0.2658,-0.0978,-0.7613,0.098,-0.0711,-0.8038,0.1624,-0.334,-2.0228,0.0631,-0.1422,-1.0629,0.1862,-0.4693,-5.5791,-0.1811
20251203_184503,autoencoder_20251203_184503_8dim,autoencoder,8,3750,1651,7e-05,0.000299,0.001,16,0.00025,loo,checkpoints/autoencoder/autoencoder_20251203_184503_8dim/final.pth,-0.0429,-0.237,-2.7939,0.0177,-0.1892,-3.0084,0.0557,-0.264,-1.0773,-0.1356,-0.0922,-2.1329,0.1284,0.2411,-0.2984,0.4734,0.1627,-0.2435,0.428,0.2328,-0.1538,0.4639,-0.1094,-0.998,0.048,0.2386,-0.3508,0.5162,-0.4128,-4.1761,-0.0743
20251203_185738,variational_autoencoder_20251203_185738_8dim,variational_autoencoder,8,7500,910,0.002622,0.00388,0.001,16,0.00025,loo,checkpoints/variational_autoencoder/variational_autoencoder_20251203_185738_8dim/final.pth,0.001,-0.1873,-1.7871,-0.0328,-0.1446,-1.8568,-0.0089,0.0001,-0.3302,0.2071,-0.0329,-0.6131,0.2777,0.1805,-0.1921,0.5136,0.0596,-0.341,0.3219,0.0845,-0.3317,0.3608,0.1594,-0.0541,0.4201,0.2017,-0.2482,0.458,-0.3111,-4.8593,0.0842
20251203_190403,bigger_variational_autoencoder_20251203_190403_8dim,bigger_variational_autoencoder,8,1500,1207,0.002235,0.002022,0.001,16,0.00025,loo,checkpoints/bigger_variational_autoencoder/bigger_variational_autoencoder_20251203_190403_8dim/final.pth,-0.0457,-0.2654,-3.0076,0.0118,-0.2967,-3.3729,-0.0279,-0.225,-1.6377,0.0961,-0.1347,-1.9746,0.0911,0.4083,-0.0615,0.5752,0.0172,-0.4269,0.2052,0.0359,-0.4625,0.1994,0.0972,-0.4377,0.3973,0.3058,-0.0928,0.4826,-0.4,-6.5597,0.0243
20251203_192936,even_smaller_variational_autoencoder_20251203_192936_8dim,even_smaller_variational_autoencoder,8,7500,5943,0.003334,0.002865,0.001,16,0.00025,loo,checkpoints/even_smaller_variational_autoencoder/even_smaller_variational_autoencoder_20251203_192936_8dim/final.pth,-0.0167,-0.2428,-2.2203,-0.0563,-0.2322,-2.3323,-0.036,-0.0668,-0.6005,0.0825,-0.0413,-1.2561,0.1014,0.3771,0.0324,0.5293,0.0162,-0.381,0.1651,0.0618,-0.3222,0.227,0.087,-0.4408,0.2239,0.2415,-0.1956,0.44,-0.3673,-5.949,-0.0468
