timestamp,run_id,model,latent_dim,epochs,best_epoch,best_train_loss,best_test_loss,lr,batch_size,kld_weight,eval_method,checkpoint,Overall Mean R²,Min Ferret Mean (R²),Min Ferret Mean (CI Low),Min Ferret Mean (CI High),Max Ferret Mean (R²),Max Ferret Mean (CI Low),Max Ferret Mean (CI High),Height Mean (R²),Height Mean (CI Low),Height Mean (CI High),Area Mean (R²),Area Mean (CI Low),Area Mean (CI High),Volume Mean (R²),Volume Mean (CI Low),Volume Mean (CI High),Min Ferret Median (R²),Min Ferret Median (CI Low),Min Ferret Median (CI High),Max Ferret Median (R²),Max Ferret Median (CI Low),Max Ferret Median (CI High),Height Median (R²),Height Median (CI Low),Height Median (CI High),Area Median (R²),Area Median (CI Low),Area Median (CI High),Volume Median (R²),Volume Median (CI Low),Volume Median (CI High)
20251202_231056,attention_unet_20251202_231056_64dim,attention_unet,64,10,6,0.000241,0.000202,0.001,16,0.00025,loo,checkpoints/attention_unet/attention_unet_20251202_231056_64dim/final.pth,-0.2769,-0.3796,-4.025,-0.0399,-0.3359,-4.2635,0.046,-0.4171,-2.3111,-0.0786,-0.3602,-2.9465,-0.0654,-0.0887,-0.8692,0.2746,-0.2169,-0.8084,0.0258,-0.2551,-0.8828,0.0055,-0.2587,-1.7626,0.0143,-0.0015,-1.1106,0.3459,-0.455,-4.3733,-0.2185
20251202_232637,autoencoder_20251202_232637_64dim,autoencoder,64,250,151,0.000203,9.8e-05,0.001,16,0.00025,loo,checkpoints/autoencoder/autoencoder_20251202_232637_64dim/final.pth,-0.0932,-0.2572,-2.6315,-0.0557,-0.2174,-2.7683,-0.0165,-0.2054,-1.0913,-0.0351,-0.1121,-1.6088,0.0755,0.2358,-0.3801,0.4541,-0.0344,-0.4643,0.1581,0.0563,-0.474,0.2696,-0.0755,-0.8431,0.1188,0.2029,-0.4197,0.4383,-0.5247,-6.2115,-0.1615
20251202_233958,variational_autoencoder_20251202_233958_64dim,variational_autoencoder,64,500,256,0.003053,0.002065,0.001,16,0.00025,loo,checkpoints/variational_autoencoder/variational_autoencoder_20251202_233958_64dim/final.pth,-0.016,-0.2645,-2.3117,-0.0805,-0.1945,-2.2662,-0.0122,-0.1818,-1.1726,-0.0197,-0.0668,-1.0974,0.0588,0.2492,-0.0492,0.4631,0.1214,-0.1989,0.3324,0.198,-0.0847,0.3709,-0.0521,-0.6684,0.0936,0.3596,-0.031,0.5569,-0.3281,-5.5473,0.0587
20251202_235139,bigger_variational_autoencoder_20251202_235139_64dim,bigger_variational_autoencoder,64,100,68,0.00304,0.003069,0.001,16,0.00025,loo,checkpoints/bigger_variational_autoencoder/bigger_variational_autoencoder_20251202_235139_64dim/final.pth,-0.0353,-0.1727,-2.9982,0.0541,-0.1874,-3.2222,0.0588,-0.1538,-0.8647,-0.0071,-0.0457,-1.3714,0.0858,0.1771,-0.2641,0.3028,0.0031,-0.3121,0.185,0.0269,-0.4923,0.2052,0.0241,-0.5098,0.2838,0.2819,-0.1356,0.5141,-0.3061,-5.1122,-0.0337
20251203_001839,even_smaller_variational_autoencoder_20251203_001839_64dim,even_smaller_variational_autoencoder,64,500,395,0.003796,0.004588,0.001,16,0.00025,loo,checkpoints/even_smaller_variational_autoencoder/even_smaller_variational_autoencoder_20251203_001839_64dim/final.pth,0.076,-0.0652,-1.0565,0.0534,-0.0389,-1.0341,0.1018,-0.0059,-0.6412,0.2763,0.1038,-0.6319,0.2371,0.318,-0.0035,0.5021,0.2004,-0.227,0.3695,0.2408,-0.2365,0.4702,0.0209,-0.7327,0.2552,0.2497,-0.1862,0.4919,-0.264,-5.2951,0.2186
