timestamp,run_id,model,latent_dim,epochs,best_epoch,best_train_loss,best_test_loss,lr,batch_size,kld_weight,eval_method,checkpoint,Overall Mean R²,Min Ferret Mean (R²),Min Ferret Mean (CI Low),Min Ferret Mean (CI High),Max Ferret Mean (R²),Max Ferret Mean (CI Low),Max Ferret Mean (CI High),Height Mean (R²),Height Mean (CI Low),Height Mean (CI High),Area Mean (R²),Area Mean (CI Low),Area Mean (CI High),Volume Mean (R²),Volume Mean (CI Low),Volume Mean (CI High),Min Ferret Median (R²),Min Ferret Median (CI Low),Min Ferret Median (CI High),Max Ferret Median (R²),Max Ferret Median (CI Low),Max Ferret Median (CI High),Height Median (R²),Height Median (CI Low),Height Median (CI High),Area Median (R²),Area Median (CI Low),Area Median (CI High),Volume Median (R²),Volume Median (CI Low),Volume Median (CI High)
20251204_080051,attention_unet_20251204_080051_64dim,attention_unet,64,150,135,9.8e-05,0.000217,0.001,16,0.00025,loo,checkpoints/attention_unet/attention_unet_20251204_080051_64dim/final.pth,-0.234,-0.2493,-3.989,0.346,-0.2747,-5.0088,0.29,-0.3532,-2.506,0.0787,-0.1659,-2.79,0.3207,0.0195,-0.9639,0.2877,-0.0332,-0.6168,0.2394,-0.0764,-0.6836,0.2217,-0.5373,-2.4172,-0.1934,-0.0597,-1.295,0.3316,-0.6102,-7.3783,-0.2032
20251204_081725,autoencoder_20251204_081725_64dim,autoencoder,64,3750,1123,7.4e-05,0.000272,0.001,16,0.00025,loo,checkpoints/autoencoder/autoencoder_20251204_081725_64dim/final.pth,0.0158,-0.1608,-1.4673,0.0093,-0.1049,-1.4242,0.0027,-0.1015,-0.703,0.1127,0.0315,-0.5359,0.2852,0.1299,-0.242,0.3728,0.066,-0.2406,0.1941,0.1496,-0.1767,0.3247,0.0945,-0.351,0.2189,0.2678,-0.0259,0.4721,-0.214,-2.6316,0.13
20251204_083005,variational_autoencoder_20251204_083005_64dim,variational_autoencoder,64,7500,6856,0.00279,0.002268,0.001,16,0.00025,loo,checkpoints/variational_autoencoder/variational_autoencoder_20251204_083005_64dim/final.pth,-0.074,-0.2459,-2.1298,-0.1068,-0.2722,-2.1936,-0.0816,-0.3096,-1.3334,-0.1258,-0.1414,-1.5506,-0.0152,0.2917,-0.0715,0.4437,0.0945,-0.3253,0.2372,0.1383,-0.1791,0.2485,-0.1433,-1.006,0.0176,0.135,-0.2864,0.4052,-0.2876,-4.1619,0.1399
20251204_083941,bigger_variational_autoencoder_20251204_083941_64dim,bigger_variational_autoencoder,64,1500,1326,0.002759,0.003185,0.001,16,0.00025,loo,checkpoints/bigger_variational_autoencoder/bigger_variational_autoencoder_20251204_083941_64dim/final.pth,-0.0743,-0.3077,-3.8103,0.0044,-0.2247,-3.4936,0.0223,-0.2228,-1.9256,0.047,-0.0872,-1.332,0.075,0.2677,-0.0355,0.4687,-0.0174,-0.4943,0.1637,0.054,-0.3414,0.2185,-0.002,-0.5745,0.2087,0.2096,-0.1741,0.4133,-0.4125,-6.4414,-0.0139
20251204_090639,even_smaller_variational_autoencoder_20251204_090639_64dim,even_smaller_variational_autoencoder,64,7500,6181,0.00358,0.003283,0.001,16,0.00025,loo,checkpoints/even_smaller_variational_autoencoder/even_smaller_variational_autoencoder_20251204_090639_64dim/final.pth,0.0506,-0.2209,-1.919,-0.048,-0.228,-2.6323,-0.024,-0.0886,-0.8471,0.0796,-0.0659,-1.6715,0.126,0.4837,0.1234,0.6158,0.1699,-0.3834,0.3629,0.2958,-0.1634,0.4872,0.0948,-0.454,0.2846,0.3296,0.0131,0.5295,-0.2648,-5.8566,0.2384
