timestamp,run_id,model,latent_dim,epochs,best_epoch,best_train_loss,best_test_loss,lr,batch_size,kld_weight,eval_method,checkpoint,Overall Mean R²,Min Ferret Mean (R²),Min Ferret Mean (CI Low),Min Ferret Mean (CI High),Max Ferret Mean (R²),Max Ferret Mean (CI Low),Max Ferret Mean (CI High),Height Mean (R²),Height Mean (CI Low),Height Mean (CI High),Area Mean (R²),Area Mean (CI Low),Area Mean (CI High),Volume Mean (R²),Volume Mean (CI Low),Volume Mean (CI High),Min Ferret Median (R²),Min Ferret Median (CI Low),Min Ferret Median (CI High),Max Ferret Median (R²),Max Ferret Median (CI Low),Max Ferret Median (CI High),Height Median (R²),Height Median (CI Low),Height Median (CI High),Area Median (R²),Area Median (CI Low),Area Median (CI High),Volume Median (R²),Volume Median (CI Low),Volume Median (CI High)
20251203_071530,attention_unet_20251203_071530_8dim,attention_unet,8,10,6,0.00038,9.3e-05,0.001,16,0.00025,loo,checkpoints/attention_unet/attention_unet_20251203_071530_8dim/final.pth,-0.2247,-0.2155,-2.7969,0.081,-0.2321,-2.8761,0.0206,-0.3753,-2.0261,-0.0272,-0.1661,-2.1134,0.1484,0.0368,-1.0927,0.3539,-0.0915,-0.5301,0.1078,0.0003,-0.4062,0.2116,-0.3848,-1.8728,-0.0477,-0.2187,-1.3954,0.23,-0.5999,-7.074,-0.1112
20251203_073050,autoencoder_20251203_073050_8dim,autoencoder,8,250,161,0.000269,0.000127,0.001,16,0.00025,loo,checkpoints/autoencoder/autoencoder_20251203_073050_8dim/final.pth,0.0896,0.0748,-0.9261,0.2072,0.199,-0.6362,0.2985,-0.0422,-0.5518,0.1079,0.0487,-1.2271,0.246,0.4053,-0.0248,0.5621,0.0746,-0.4151,0.2809,0.1308,-0.3171,0.3506,0.0011,-0.5975,0.1226,0.2674,-0.346,0.4965,-0.2635,-5.4149,0.0771
20251203_074411,variational_autoencoder_20251203_074411_8dim,variational_autoencoder,8,500,368,0.002479,0.00199,0.001,16,0.00025,loo,checkpoints/variational_autoencoder/variational_autoencoder_20251203_074411_8dim/final.pth,-0.036,-0.377,-4.2624,-0.0229,-0.4062,-4.591,-0.0846,-0.1159,-1.0935,0.2241,-0.1919,-2.5407,0.0973,0.2983,0.0257,0.7052,0.1321,-0.2287,0.3725,0.1959,-0.0948,0.462,0.0311,-0.5649,0.3373,0.3053,-0.2508,0.532,-0.2313,-3.1998,-0.0021
20251203_075254,bigger_variational_autoencoder_20251203_075254_8dim,bigger_variational_autoencoder,8,100,92,0.002637,0.002543,0.001,16,0.00025,loo,checkpoints/bigger_variational_autoencoder/bigger_variational_autoencoder_20251203_075254_8dim/final.pth,-0.0843,-0.223,-2.6116,-0.0391,-0.1682,-2.4991,0.0216,-0.1592,-1.1771,0.0555,-0.1329,-2.1871,0.0596,0.2624,-0.2763,0.3793,0.0013,-0.4185,0.1854,0.0003,-0.5083,0.1961,-0.1681,-1.5431,0.1013,0.1648,-0.2826,0.3856,-0.4202,-6.0956,0.0137
20251203_081738,even_smaller_variational_autoencoder_20251203_081738_8dim,even_smaller_variational_autoencoder,8,500,364,0.003538,0.003401,0.001,16,0.00025,loo,checkpoints/even_smaller_variational_autoencoder/even_smaller_variational_autoencoder_20251203_081738_8dim/final.pth,-0.1273,-0.3476,-4.8659,0.0006,-0.3202,-4.3812,-0.0045,-0.2878,-1.7305,-0.0028,-0.2682,-3.3209,0.0865,0.2435,-0.1409,0.4961,-0.1,-0.7222,0.1433,-0.0389,-0.6197,0.2251,-0.1338,-0.6552,-0.0149,0.2501,-0.1873,0.4664,-0.2701,-5.0634,-0.0018
