timestamp,run_id,model,latent_dim,epochs,best_epoch,best_train_loss,best_test_loss,lr,batch_size,kld_weight,eval_method,checkpoint,Overall Mean R²,Min Ferret Mean (R²),Min Ferret Mean (CI Low),Min Ferret Mean (CI High),Max Ferret Mean (R²),Max Ferret Mean (CI Low),Max Ferret Mean (CI High),Height Mean (R²),Height Mean (CI Low),Height Mean (CI High),Area Mean (R²),Area Mean (CI Low),Area Mean (CI High),Volume Mean (R²),Volume Mean (CI Low),Volume Mean (CI High),Min Ferret Median (R²),Min Ferret Median (CI Low),Min Ferret Median (CI High),Max Ferret Median (R²),Max Ferret Median (CI Low),Max Ferret Median (CI High),Height Median (R²),Height Median (CI Low),Height Median (CI High),Area Median (R²),Area Median (CI Low),Area Median (CI High),Volume Median (R²),Volume Median (CI Low),Volume Median (CI High)
20251203_010213,attention_unet_20251203_010213_32dim,attention_unet,32,10,2,0.000339,0.000157,0.001,16,0.00025,loo,checkpoints/attention_unet/attention_unet_20251203_010213_32dim/final.pth,-0.1415,-0.2365,-3.1192,0.1065,-0.1691,-2.8621,0.1564,-0.1994,-1.553,0.1308,-0.0912,-2.3768,0.3916,0.0602,-0.7162,0.3277,-0.1248,-0.9545,0.2491,-0.0693,-0.8282,0.2624,-0.1604,-1.1254,0.0433,-0.0292,-1.0938,0.2908,-0.3949,-5.3164,-0.0079
20251203_011753,autoencoder_20251203_011753_32dim,autoencoder,32,250,177,0.000235,0.000583,0.001,16,0.00025,loo,checkpoints/autoencoder/autoencoder_20251203_011753_32dim/final.pth,-0.0917,-0.1958,-1.5136,-0.0728,-0.1793,-1.6699,-0.0434,-0.2212,-1.3185,-0.0139,-0.0776,-1.4914,0.1281,0.1633,-0.2735,0.3306,-0.0412,-0.4883,0.1264,-0.0085,-0.4648,0.169,-0.0357,-0.6474,0.1005,0.1372,-0.4604,0.3668,-0.4581,-6.2014,-0.1377
20251203_013114,variational_autoencoder_20251203_013114_32dim,variational_autoencoder,32,500,332,0.002702,0.002387,0.001,16,0.00025,loo,checkpoints/variational_autoencoder/variational_autoencoder_20251203_013114_32dim/final.pth,0.1606,-0.2064,-2.5726,0.0178,-0.1844,-2.6404,0.0334,-0.0082,-0.6543,0.1102,0.1118,-0.5985,0.2271,0.5934,0.468,0.7515,0.3319,-0.0543,0.4507,0.4153,0.1027,0.5584,0.1336,-0.5046,0.3032,0.4738,0.1611,0.6593,-0.0551,-3.8611,0.4312
20251203_014051,bigger_variational_autoencoder_20251203_014051_32dim,bigger_variational_autoencoder,32,100,82,0.002942,0.003475,0.001,16,0.00025,loo,checkpoints/bigger_variational_autoencoder/bigger_variational_autoencoder_20251203_014051_32dim/final.pth,0.0584,0.0856,-2.1945,0.3402,0.1092,-2.0829,0.3741,0.1163,-0.4493,0.4544,0.1047,-0.9286,0.4991,0.0986,-0.2625,0.501,0.0419,-0.4031,0.3451,0.0455,-0.3935,0.3399,-0.0857,-0.8742,0.1274,0.1941,-0.294,0.4138,-0.1259,-2.6618,0.089
20251203_020546,even_smaller_variational_autoencoder_20251203_020546_32dim,even_smaller_variational_autoencoder,32,500,130,0.003748,0.004258,0.001,16,0.00025,loo,checkpoints/even_smaller_variational_autoencoder/even_smaller_variational_autoencoder_20251203_020546_32dim/final.pth,0.0058,-0.297,-2.7306,-0.0626,-0.3053,-3.3248,-0.0528,-0.2371,-1.1156,-0.0817,-0.0828,-1.7211,0.0791,0.3573,0.0224,0.4382,0.211,-0.0596,0.334,0.3204,0.0642,0.5153,0.0893,-0.7584,0.2934,0.3797,0.0324,0.5901,-0.3769,-6.6777,0.0221
